id,filename,title,description,context_note,auteur,creator,date,period,place,type_document,document_ref,figure_type,source_document,editeur,annee_publication,periode_couverte,langue,isbn,lieu_edition,collection_serie,chunk_id,page_ref,license,attribution,source_url,download_url,repository,source_figures_dir,source_path,original_filename,file_ext,file_size_bytes,checksum_sha256,width_px,height_px,download_status,download_date,quality_note
12,FIGURE_10_BATAILLE_ISLY_TRAITES_vernet_isly_1846.jpg,"Bataille d'Isly (Horace Vernet, 1846)",Battle of Isly (1844) painted by Horace Vernet.,Bataille d'Isly (1844). Partie II - Section A.1.,Horace Vernet,,1846,XIXe s.,Isly,Peinture historique,"VERNET, Horace, Bataille d'Isly, 1846, Musée de Versailles",Peinture,,,,,,,,,,,Public Domain,"Horace Vernet, Bataille d'Isly, 1846 - Wikimedia Commons (PD)",https://commons.wikimedia.org/wiki/File:Vernet_-_Bataille_d%27Isly_-_1846.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Vernet_-_Bataille_d%27Isly_-_1846.jpg,,,,,jpg,438790,f657f7c8925dd3355a8c4211a7424289812b0ac45a046011e5a5544032409b7c,1959,941,kept,2026-02-07,battle painting
13,FIGURE_12_ACTEURS_DIPLOMATIE_CRISE_abd_el_aziz_bicyclette_1901.jpg,Moulay Abdelaziz en bicyclette (1901),Portrait photograph showing Moulay Abdelaziz with bicycle.,Sultan Abdelaziz. Partie II - Section B.,Photographe non identifié,,ca. 1901,Début XXe s.,Maroc,Photographie,Portrait de Moulay Abdelaziz (ca. 1901),Photographie,,,,,,,,,,,Unknown,Source not recorded,,,,,,,jpg,361357,3fd7bd5fb5ea5949d1778501ac21e8450a225cb4881ecc6a09efdfed02da7570,1411,2002,kept,2026-02-07,source URL not recorded
14,FIGURE_13_ALGESIRAS_PROTOCOLES_algeciras_conference_1906.jpg,Conference d'Algesiras (1906),Press photo of Algeciras Conference delegates.,Conférence d'Algésiras. Partie II - Section B.2.,Agence Rol,,1906,Début XXe s.,Algésiras,Photographie de presse,"Conférence d'Algésiras (1906), Agence Rol / Gallica BnF",Photographie,,,,,,,,,,,Public Domain,Agence Rol / Gallica BnF (1906 press photo),https://gallica.bnf.fr/ark:/12148/btv1b53109233x.item,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53109233x/f1/full/full/0/default.jpg,,,,,jpg,72876,b9623886a61db4c0b9d5424d2d97ba25c41413b083da50f20d289e4286eb617b,640,461,kept,2026-02-07,press photo
15,FIGURE_14_PROTECTORAT_TRAITE_FES_portion_signatures.png,Traite de Fes (1912) - signatures,Signature portion extracted from the treaty PDF.,Signatures du traité de Fès. Partie II - Conclusion.,Gouvernement français / Makhzen,,1912,Début XXe s.,Fès,Fac-similé de traité,"Traité de Fès (30 mars 1912), Wikimedia Commons",Document diplomatique,,,,,,,,,,,Public Domain,Ministere de l'Europe et des Affaires etrangeres / Wikimedia Commons (PD),https://commons.wikimedia.org/wiki/File:Trait%C3%A9_relatif_%C3%A0_l%27organisation_du_protectorat_fran%C3%A7ais_dans_l%27empire_ch%C3%A9rifien_TRA19120019_001_-_France_Maroc.pdf,https://upload.wikimedia.org/wikipedia/commons/f/fc/Trait%C3%A9_relatif_%C3%A0_l%27organisation_du_protectorat_fran%C3%A7ais_dans_l%27empire_ch%C3%A9rifien_TRA19120019_001_-_France_Maroc.pdf,,,,,png,92525,9a20d2559ae716617303e6ee3dbf4ad5be41f927e8425273b1d616edb8d7255a,706,460,kept,2026-02-07,signature crop
1,FIGURE_1_CARTE_EMPIRE_CHERIFIEN_mouette_1683.jpg,Carte de l'Empire cherifien (XVIIIe siecle),Historical map of the Moroccan empire showing major regions and ports.,Carte générale de l'Empire chérifien. Partie I - Introduction.,Germain Mouette,,1683,XVIIe s.,Empire Chérifien,Carte historique,"MOUETTE, Germain, Carte des Estats du Roy de Fez, 1683 (via Gallica BnF)",Carte,,,,,,,,,,,Public Domain,"Gallica BnF - Carte de l'Empire de Maroc (Germain Mouette, 1683)",https://gallica.bnf.fr/ark:/12148/btv1b8490821g,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8490821g/f1/full/full/0/default.jpg,,,,,jpg,2416353,f85d4bc4fb391c03c17025a0a0ed14115ae6a356996f3505c5bf29b5e509823f,3660,3419,kept,2026-02-07,map image
2,FIGURE_2_FACSIMILES_TRAITES_morocco_usa_1786.jpg,Traite Maroc-USA (1786) - page arabe,Arabic text page of the 1786 treaty of peace and friendship.,Page arabe du Traité de Marrakech (1786). Partie I - Section A.3.,Chancellerie chérifienne / U.S. State Department,,1786,XVIIIe s.,Marrakech,Fac-similé de traité,"Traité de Paix et d'Amitié Maroc-USA (1786), National Archives (Washington, RG 59)",Document diplomatique,,,,,,,,,,,Public Domain,Moroccan-American Treaty of Peace and Friendship - Wikimedia Commons (PD),https://commons.wikimedia.org/wiki/File:Moroccan-American_Treaty_of_Peace_and_Friendship_01.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Moroccan-American_Treaty_of_Peace_and_Friendship_01.jpg,,,,,jpg,473230,412f4e83c9cc66e6b2b9b5a35a2e6c0ccf4d025991dcde7e9c9f75ae37ea2aab,1563,2048,kept,2026-02-07,treaty facsimile
3,FIGURE_3_DIPLOMATIE_CORSAIRE_british_sailors_algerine_pirate.jpg,Diplomatie corsaire - scene navale,Naval scene illustrating corsair diplomacy.,Diplomatie corsaire. Partie I - Section B.2.,Inconnu (gravure d'époque),,ca. XVIIIe s.,XVIIe-XVIIIe s.,Méditerranée / Atlantique,Gravure,Scène navale corsaire (source non identifiée),Gravure / Illustration,,,,,,,,,,,Unknown,Source not recorded,,,,,,,jpg,255743,7441ad1f87c273205f1d6cd5cd5be25b68776e1e9770916138a4fb019a4a6eb7,1224,800,kept,2026-02-07,source URL not recorded
4,FIGURE_4_PLAN_ESSAOUIRA_plan_de_mogador_btv1b53064624b.jpg,Plan de Mogador (Essaouira),Historical plan of Mogador/Essaouira.,Plan d'Essaouira. Partie I - Section B.3.,Ingénieurs royaux (attribué T. Cornut),,ca. 1770,XVIIIe s.,Essaouira (Mogador),Plan architectural,"Plan de Mogador, Gallica BnF (ark:/12148/btv1b53064624b)",Plan,,,,,,,,,,,Public Domain,Gallica BnF - Plan de Mogador (Essaouira),https://gallica.bnf.fr/ark:/12148/btv1b53064624b,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53064624b/f1/full/full/0/default.jpg,,,,,jpg,9540210,07742f2c50a87f804dbae073626c97d3398379832f9a60c5e76dc50d8be13f7f,6928,8905,kept,2026-02-07,high resolution
5,FIGURE_5_PROTEGES_CONSULAIRES_madrid_conference_1880_title.jpg,Conference de Madrid (1880) - page de titre,Title page tied to the 1880 Madrid conference on protections.,Convention de Madrid. Partie II - Section A.2.,Conférence de Madrid,,1880,XIXe s.,Madrid,Document officiel,"Convention de Madrid (1880), page de titre",Document diplomatique,,,,,,,,,,,Unknown,Source not recorded,,,,,,,jpg,3117105,ece389767decaa79345c692e91a383c2357695e93c17dd4cb44d06ee06e9ba84,3872,5322,kept,2026-02-07,source URL not recorded
6,FIGURE_6_ALLIANCES_ALGESIRAS_delegues_tanger_hotel_continental.jpg,Delegues a Tanger - Hotel Continental,Group portrait of delegates in Tanger.,Délégués diplomatiques à Tanger. Partie II - Section B.,Photographe non identifié,,ca. 1905-1906,Début XXe s.,Tanger,Photographie,"Portrait de groupe des délégués diplomatiques, Tanger",Photographie,,,,,,,,,,,Unknown,Source not recorded,,,,,,,jpg,1359300,b560bae243c34662e26533a6bbde71e5cb5b0e160fe8491de05ba09b655608cd,3024,4032,kept,2026-02-07,source URL not recorded
