Titre de la figure,Description de l'image,Type d'illustration,Numéro de page,Source
Couverture de l'ouvrage,Titre du livre 'Histoire de l'Afrique du Nord' avec le nom de l'auteur Bernard Lugan.,Couverture,1,1
Carte de l'Afrique du Nord pharaonique,Défense de l'Égypte sur les oasis situées à l'ouest du Nil face aux Berbères sahariens.,Carte,XI,1
Division du Maghreb antique,"Limites des trois grands royaumes berbères : Massyle, Massaesyle et Mauretanie.",Carte,XVIII,1
Réoccupation du Sahara,"Localisation des massifs de l'Acacus, du Hoggar et de l'Aïr.",Carte,VI,1
Fond ancien de peuplement berbère,Répartition génétique et historique des Berbères de l'Égypte au Maroc.,Cartes,IX et X,1
Représentations des habitants du Sahara,Codification égyptienne des Libyens orientaux portant de grands manteaux.,Planche / Peinture,II,1
Groupes de population négroïde au Sahara,"Localisation au Tibesti, dans l'Ennedi et à Ouenat.",Carte,VI,1
Expéditions au pays de Pount,Route maritime vers l'actuelle Somalie.,Carte,XIV,1
Pays de Ouaouat et Yam,Zones d'influence égyptienne au sud des cataractes du Nil.,Carte,VIII,1
Proto-royaumes de Haute Égypte,"Localisation de Nekhen, Noubt et Thinis.",Carte,VII,1
Villes du Delta et Moyenne-Égypte,"Localisation de Saïs, Tanis, Memphis, Bubastis et Avaris.",Carte,XI et XIII,1
Égypte et Proche-Orient,"Théâtres d'opérations militaires incluant le Mitanni, Qadesh et Karkemisch.",Carte,XII,1
Cyrénaïque grecque,Localisation d'Aziris et du golfe de Bamba.,Carte,XV,1
Limes de Tripolitaine,Systèmes de recueil des pluies et centre agricole à Ghirz.,Carte,XXIV,1
Répartition des tribus berbères (période byzantine),"Localisation des Austuriani, Ifuraces et Laguatan.",Carte,XXII,1
L'expansion Almoravide,Itinéraires de conquête du Sahara vers le Maroc et l'Espagne.,Carte,XXXIV,1
"Mosquée Hassan II, Casablanca",Vue de la mosquée Hassan II à Casablanca utilisée pour le crédit de couverture.,Photographie,12,2
Le Maroc Pré-Romain,"Carte montrant les comptoirs puniques et les villes maurétaniennes de l'Antiquité, avec les noms antiques et modernes (ex: Tingi/Tanger).",Carte,2930,2
La Maurétanie Tingitane,"Carte détaillée de la province romaine avec localisation des colonies romaines, municipes et cours d'eau comme l'Oued Sebou.",Carte,2935,2
L'expansion des Almohades,Carte illustrant l'étendue territoriale de l'empire almohade à travers le Maghreb et l'Espagne (Al-Andalus) entre 1143 et 1172.,Carte,2939,2
Le Maroc en 1660,"Carte politique montrant les divisions territoriales du Maroc, les tribus (ex: Doukkala, Abda) et les villes principales vers 1660.",Carte,2948,2
Le Maroc,"Carte contemporaine montrant les frontières actuelles, les villes majeures, les reliefs (Atlas) et le Sahara Occidental.",Carte,2960,2
