,HS,Période historique,Thème principal,Acteurs ou Figures clés,Contexte géopolitique,Méthodologie d'analyse (Inferred),Source
Époque médiévale (Mérinides),1,"Manuscrit (Chronique, Document de cour, Lettre)","Généalogie, diplomatie et fondation des cités (Fès el-Djedid)","Abu Yusuf Yaqub, Idriss II, Ibn Khaldoun, Philippe III de France","Fondation de l'État, luttes tribales Zénètes et alliances avec la France et l'Aragon","Approche historiographique critique, diplomatique et analyse de la « Asabiyya »","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
Époque médiévale (Almohades),1,"Manuscrit (Chronique, Traité, Épître)","Doctrine du Tawhid (Unicité), réformes religieuses et déclin militaire (Las Navas de Tolosa)","Ibn Toumert, Abd el Moumen, Yaqoub El-Mançour, Averroès","Unification du Maghreb et de l'Andalousie, lutte contre les Almoravides et les royaumes chrétiens",Approche sociocritique du mouvement messianique et analyse théologico-politique,"1, 2, 4, 5, 6, 19, 20, 12, 13, 14, 21, 22, 23, 17, 18"
Période contemporaine (Guerre du Rif),1,"Témoignage (Mémoires, Archives militaires, Presse)",Résistance anticoloniale et proclamation de la République du Rif,"Abd el-Krim el Khettabi, Lyautey, Pétain, Primo de Rivera",Conflit entre la résistance rifaine et les protectorats français et espagnol,Analyse narratologique de la mémoire collective et approche critique militaire et décoloniale,"1, 2, 3, 4, 5, 19, 12, 13, 14, 16, 23, 18"
Période contemporaine (Années de plomb),1,"Témoignage (Littérature carcérale, Film, Récit)","Opposition politique, répression et mémoire des violations des droits de l'homme","Hassan II, Mehdi Ben Barka, Général Oufkir, Abraham Serfaty","Lutte entre la monarchie et la gauche radicale, tentatives de putsch (Skhirat, Boeing)",Approche critique des récits de détention et analyse sociopolitique de l'autoritarisme,"1, 2, 5, 19, 20, 24, 12, 22, 23"
Période contemporaine (Conflit israélo-palestinien),1,"Témoignage (Discours, Accords, Film)","Diplomatie, processus de paix (Oslo) et impact sur le monde arabe","Yasser Arafat, Yitzhak Rabin, Anouar el-Sadate, Hassan II","Guerres israélo-arabes, accords de Camp David et question de Jérusalem (Al-Qods)","Analyse géopolitique, linguistique du discours politique et approche cognitive","1, 2, 5, 19, 20, 24, 12, 16"
Époque moderne (Alaouites),,"Manuscrit (Chronique, Correspondance, Traité)","Consolidation du pouvoir makhzénien, diplomatie et organisation militaire (Abid d'Elbokhari)","Moulay Ismaïl, Sidi Mohammed ben Abdallah, Moulay Slimane","Unification du Maroc, lutte contre les occupations chrétiennes et reconnaissance des États-Unis","Analyse historico-critique, archivistique et sociocritique des structures de pouvoir","3, 25, 26, 7, 8, 9, 10, 11, 27"
Époque moderne (Saadiens),1,"Manuscrit (Histoire dynastique, Objet d'art, Étude)","Commerce transsaharien (or, esclaves), industrie du sucre et diplomatie européenne","Ahmed al-Mansur, Samuel Pallache, Elizabeth I",Conquête du Soudan et alliances stratégiques contre l'Espagne,"Analyse géo-économique, archivistique et approche de l'histoire de l'art","2, 4, 25, 10, 22, 18"
Époque médiévale (Idrissides),1,"Manuscrit (Chronique, Document diplomatique)","Fondation de la dynastie, islamisation et alliance arabo-berbère","Idriss Ier, Idriss II, Kenza al-Awrabiya",Indépendance vis-à-vis du califat de Bagdad et fondation de Fès,Approche historiographique traditionnelle et critique des sources arabes classiques,"26, 6, 22, 28"
Époque médiévale (Almoravides),1,"Manuscrit (Traité, Étude historique)","Unification saharienne, médecine expérimentale et défense de l'Andalousie","Youssef ben Tachfine, Ibn Yassine, Avenzohar",Apogée de l'empire almoravide et bataille de Zalaca,"Approche rationaliste, hagiographique et critique des dynasties berbères","3, 5, 6, 23, 18"
XIXe siècle (Pressions coloniales),,"Témoignage (Rapports, Correspondance)","Défaite militaire (Isly, Tétouan) et réformes administratives (Tertib)","Moulay Abderrahmane, Bugeaud, O'Donnell, Moulay el-Hasan","Expansion coloniale française et espagnole, déstructuration de la société traditionnelle",Analyse critique de la stratégie militaire et étude sociocritique des réformes,"3, 6, 7, 8, 9, 11, 29, 13, 14, 16"
Début XXe siècle (Protectorat),,"Témoignage (Rapports, Traité, Presse)","Insurrections (Bou Hamara, Raissouli) et mise en place du protectorat","Moulay Abdelaziz, Lyautey, Guillaume II, Delcassé","Conférence d'Algésiras, crise marocaine et rivalités impérialistes",Analyse sociopolitique de l'anarchie tribale et exégèse juridique des traités,"26, 9, 10, 30, 31, 22, 16, 18"
Époque moderne (Relations avec l'Europe),,Correspondance diplomatique et commerciale,Commerce maritime et consulats (Chambre de Commerce de Marseille),"Louis Chénier, Sidi Mohammed ben Abdallah, Catherine II de Russie",Ouverture des ports marocains et régularisation des échanges méditerranéens,Analyse socio-historique et économique des flux commerciaux,"3, 25, 8, 27"
Moyen Âge (Généralités),1,"Manuscrit (Traités de Soufisme, Actes de Waqf)","Mysticisme, culte des saints (Maraboutisme) et présence religieuse à Jérusalem","Abd as-Salâm ben Machîch, Abû Madyan, Sept saints de Marrakech",Développement des confréries comme régulateurs sociaux,Analyse sociocritique du sacré et étude hagiographique,"5, 26, 20, 9, 21, 15, 23"
Antiquité,1,Témoignage (Sources latines et grecques),Peuplements primitifs et rivalités impériales,"Annibal, Scipion l'Africain, Juba, Ptolémée",Lutte entre Carthage et Rome pour l'hégémonie en Méditerranée,Approche comparative entre sources classiques et données archéologiques,"13, 17"
Époque contemporaine (Diplomatie globale),,"Plaidoyer, Témoignage, Résolution","Diplomatie humanitaire, médiation et justice internationale","Communauté de Sant'Egidio, CICR, Conseil de Sécurité",Guerres civiles (Mozambique) et conflits en ex-Yougoslavie,"Approche fonctionnelle, pragmatique et performative","19, 32"
Égypte (XIXe - XXe siècles),1,"Essai, Discours, Film","Nahda (éveil national), modernisation et rupture politique","Tahtâwî, Bonaparte, Anouar El-Sadate",Expédition d'Égypte et transition vers le post-nassérisme,"Analyse textuelle, épistémologique et filmique","20, 27"
Histoire de la diplomatie,,"Analyses textuelles, Traités",Émergence de l'ambassadeur résident et ordre westphalien,"Talleyrand, Louis XIV, Ambassadeurs vénitiens",Renaissance italienne et fin de la guerre de Trente Ans,"Approche généalogique, institutionnelle et lexicale","19, 24, 32"
Seconde Guerre mondiale,1,"Film, Dahir","Shoah, lois raciales et protection royale au Maroc","Alain Resnais, Mohammed V, Maréchal Pétain",Régime de Vichy et débarquement américain au Maroc,"Analyse éthique, formelle et étude sociocritique de la résistance symbolique","20, 22"
VIIIe siècle (Marginalités),1,Manuscrit,Hérésies (Berghouata) et révolte Kharéjite,"Çaleh ben Tarif, Meïsara El-Madhghari",Révolte berbère contre le pouvoir Omeyyade et schismes religieux,Analyse sociocritique des hérésies comme résistance politique,14
Guerre froide,1,"Étude de cas, Témoignage",Gestion de crise et dissuasion nucléaire,"John F. Kennedy, François Mitterrand, Ronald Reagan",Crise des missiles de Cuba et crise des euromissiles,Modèle bureaucratique et approche pragmatique-argumentative,"24, 32"
Moyen Âge (Généralités),1,Manuscrit (Chanson de geste),"Épopée, chevalerie et mythes nationaux","Roland, Charlemagne",Campagnes militaires en Espagne contre les Sarrasins,Approche narratologique et analyse sociocritique de la littérature,20
Époque contemporaine (Liban),1,"Manuel scolaire, Témoignage",Réconciliation nationale et crises financières,"État libanais, Ambassadeur de France",Accords de Taëf et post-indépendance,Analyse de politique publique et approche juridique,"20, 32"
Époque moderne (XVIIe siècle),1,Témoignage (Récit de voyage),Mysticisme et confréries religieuses,"Sidi Ahmed-Tedjini, Moulay Soliman",Influence des chefs spirituels sur la stabilité du trône,Approche descriptive des mœurs religieuses et sociales,3
